Depth (ft),SP,DT (edited)
11099.5,-20.87975101,111.5049031
11100,-20.81986677,110.9702471
11100.5,-20.76964382,110.435591
11101,-20.72749642,109.8937583
11101.5,-20.68813813,110.934927
11102,-20.62730639,111.9902612
11102.5,-20.53141798,113.0455954
11103,-20.43542387,114.1434263
11103.5,-20.42116157,113.0989376
11104,-20.56121693,112.0106242
11104.5,-20.85622178,111.2217796
11105,-21.23183391,111.7529881
11105.5,-21.60250636,112.2841966
11106,-21.93407164,112.2841966
11106.5,-22.24299322,114.4873838
11107,-22.54914939,116.002656
11107.5,-22.85169969,113.8871182
11108,-23.15376306,111.5521912
11108.5,-23.48358269,109.2172643
11109,-23.86274703,106.8823373
11109.5,-24.24936339,104.5474104
11110,-24.53706329,102.2124834
11110.5,-24.63489242,100.3320053
11111,-24.55211336,100.0664011
11111.5,-24.38721911,101.373506
11112,-24.23230393,102.9070385
11112.5,-24.09682676,104.4405711
11113,-23.9380683,105.9741036
11113.5,-23.75970779,108.3001328
11114,-23.65247662,108.3001328
11114.5,-23.72115194,107.126162
11115,-23.98059525,106.3346614
11115.5,-24.34251529,105.1128818
11116,-24.70660365,105.1128818
11116.5,-25.04951343,106.4096946
11117,-25.40900217,107.5033201
11117.5,-25.7919459,106.332448
11118,-26.12331493,104.8154051
11118.5,-26.29083087,103.2983621
11119,-26.22876372,101.3944223
11119.5,-25.94748959,102.6719788
11120,-25.50702694,104.3868969
11120.5,-24.99576758,106.101815
11121,-24.53496487,108.3001328
11121.5,-24.26246739,107.1633466
11122,-24.26706134,105.5803453
11122.5,-24.52757818,104.0504648
11123,-24.92762111,105.1412129
11123.5,-25.33902978,106.1965471
11124,-25.69128842,107.2518814
11124.5,-25.96733969,108.3001328
11125,-26.16151705,106.9057105
11125.5,-26.26547251,105.5205843
11126,-26.28968063,104.1354582
11126.5,-26.27215376,102.7224436
11127,-26.25361046,103.8857902
11127.5,-26.24745251,105.0730412
11128,-26.24763377,105.9096946
11128.5,-26.25681794,104.8844622
11129,-26.29575733,104.0929615
11129.5,-26.38294339,103.3014608
11130,-26.51266795,102.7224436
11130.5,-26.65987175,105.1069057
11131,-26.80018445,107.7689243
11131.5,-26.92807289,107.7689243
11132,-27.0534396,106.076494
11132.5,-27.18752844,105.0079681
11133,-27.32973118,103.9394422
11133.5,-27.46658417,102.8709163
11134,-27.58767018,101.8023904
11134.5,-27.70027183,100.5976096
11135,-27.81751303,101.2018592
11135.5,-27.91821829,101.8944223
11136,-27.92346222,102.5869854
11136.5,-27.73872953,103.2795485
11137,-27.34467677,103.9721116
11137.5,-26.84907472,104.6646746
11138,-26.43141784,105.3572377
11138.5,-26.21664076,106.0498008
11139,-26.19398951,106.7423639
11139.5,-26.25282929,107.434927
11140,-26.28993414,108.0345286
11140.5,-26.28023416,108.0345286
11141,-26.25766179,108.0345286
11141.5,-26.25184903,108.0345286
11142,-26.25719549,107.4086684
11142.5,-26.25660751,106.9769407
11143,-26.25278052,106.5452131
11143.5,-26.26305596,106.1134855
11144,-26.28548384,105.6817578
11144.5,-26.28014633,105.2500302
11145,-26.19397801,104.8183026
11145.5,-26.00757046,104.3865749
11146,-25.75100665,103.9548473
11146.5,-25.47429166,103.5231196
11147,-25.20113485,103.091392
11147.5,-24.92329913,102.6596644
11148,-24.63803566,102.2279367
11148.5,-24.38219254,101.6600266
11149,-24.21736682,101.998672
11149.5,-24.17824219,102.4933599
11150,-24.24015919,103.0041132
11150.5,-24.34015449,103.4571808
11151,-24.42705135,104.0052479
11151.5,-24.4901498,104.2900894
11152,-24.54666182,102.9473173
11152.5,-24.61213642,101.8616537
11153,-24.68630958,100.8173895
11153.5,-24.76048274,100.0737873
11154,-24.83029824,101.9648832
11154.5,-24.89777489,104.0674309
11155,-24.96611345,104.0345011
11155.5,-25.03594448,102.0024622
11156,-25.10615169,100.5835185
11156.5,-25.17580109,101.4596602
11157,-25.24503909,102.3525432
11157.5,-25.31428785,103.2934927
11158,-25.38347242,104.3160691
11158.5,-25.45245852,103.6095618
11159,-25.52137935,102.8180611
11159.5,-25.59069946,102.0265604
11160,-25.6600402,101.2350598
11160.5,-25.72859405,100.4435591
11161,-25.79624297,99.65205843
11161.5,-25.86468246,99.00398406
11162,-25.93642393,101.1288181
11162.5,-26.00965437,101.3944223
11163,-26.07928308,101.3944223
11163.5,-26.14463528,101.6600266
11164,-26.21517864,103.0305445
11164.5,-26.30261594,104.8472776
11165,-26.40344957,104.8472776
11165.5,-26.49613819,105.0055739
11166,-26.56937046,104.6133266
11166.5,-26.6585995,103.8366649
11167,-26.84131811,103.5209529
11167.5,-27.17298626,102.7606369
11168,-27.61332359,102.2866885
11168.5,-28.02473373,104.1666326
11169,-28.25838215,107.0881371
11169.5,-28.25761118,109.6245104
11170,-28.08422539,112.5654974
11170.5,-27.85298043,115.0693419
11171,-27.64482421,118.0470838
11171.5,-27.47594726,120.3887554
11172,-27.32546616,119.5184158
11172.5,-27.16884669,118.1573026
11173,-26.98967868,117.2018592
11173.5,-26.78308611,116.1135458
11174,-26.56946334,114.6746348
11174.5,-26.40905578,114.853475
11175,-26.38906291,115.1173085
11175.5,-26.57973741,115.3811421
11176,-26.9814021,115.7370518
11176.5,-27.49988602,115.7370518
11177,-27.97645598,113.3413015
11177.5,-28.26185397,111.8902169
11178,-28.29146487,109.8937583
11178.5,-28.10415938,109.8937583
11179,-27.79743958,111.6613546
11179.5,-27.46748669,112.749668
11180,-27.18381818,113.8379814
11180.5,-26.99975798,114.9262948
11181,-26.95775064,115.7370518
11181.5,-27.07639959,112.3844622
11182,-27.34006368,108.5657371
11182.5,-27.70723461,108.5657371
11183,-28.12242581,110.5079681
11183.5,-28.51238734,111.7446879
11184,-28.78069781,112.9814077
11184.5,-28.83376723,114.2181275
11185,-28.63778485,115.2058433
11185.5,-28.25827728,114.373838
11186,-27.83979752,113.6812749
11186.5,-27.53959027,112.9887118
11187,-27.45308905,112.2961487
11187.5,-27.57545711,111.4873838
11188,-27.82251612,111.2217796
11188.5,-28.09931991,111.2217796
11189,-28.36859433,112.3168279
11189.5,-28.6542877,113.0517928
11190,-28.96697554,113.7867577
11190.5,-29.23023819,114.5217226
11191,-29.30185621,115.2566875
11191.5,-29.09262368,115.9916524
11192,-28.66808632,116.7266173
11192.5,-28.2212917,117.4615822
11193,-27.93779733,118.12749
11193.5,-27.87670804,117.0451527
11194,-27.96693868,115.4714475
11194.5,-28.09805455,115.4714475
11195,-28.2048096,116.6799469
11195.5,-28.28039484,117.5374059
11196,-28.33688453,118.9243028
11196.5,-28.37588912,118.9243028
11197,-28.39205547,117.9667995
11197.5,-28.38892894,117.2742364
11198,-28.38017157,116.5816733
11198.5,-28.377008,115.8891102
11199,-28.37997146,115.2058433
11199.5,-28.38297767,116.6189199
11200,-28.38323684,118.0132802
11200.5,-28.38211198,119.4076406
11201,-28.38084905,120.7835325
11201.5,-28.38026084,120.2247676
